kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,rata_rata_ketinggian_air,tanggal_kejadian,frekuensi_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Timur,CIPAYUNG,BAMBU APUS,"rw 02,  03, 05",3,5,0,0,35,"8, 25 februari",2,0,0,0,0,0,0,0,0
Jakarta Timur,CIPAYUNG,CIPAYUNG,"rw 02, 04",2,2,0,0,23,"16, 25  februari",2,0,0,0,0,0,0,0,0
Jakarta Timur,CIPAYUNG,LUBANG BUAYA,"rw 03, 04,09, 12",4,10,0,0,30,"8, 16, 23, 25, 28   februari",5,0,0,0,0,80,2,0,0
Jakarta Timur,CIPAYUNG,SETU,rw 01,1,2,0,0,30,28 februari,1,0,0,0,0,0,0,0,0
Jakarta Timur,CIPAYUNG,CILANGKAP,"rw 03, 04, 06",3,7,0,0,55,"25, 28 februari",2,0,0,0,0,0,0,0,0
Jakarta Timur,CIRACAS,CIBUBUR,"rw 02, 03, 05, 10, 12",5,14,0,0,55,"15, 25 februari",2,0,0,0,0,0,0,0,0
Jakarta Timur,CIRACAS,KELAPA DUA WETAN,"rw 02, 08, 09, 011",4,7,0,0,25,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Timur,CIRACAS,RAMBUTAN,"rw 01, 02, 03, 05, 06",5,18,774,2286,35,"16,23, 25 februari",3,0,0,0,0,10,1,0,0
Jakarta Timur,CIRACAS,SUSUKAN,rw 05,1,4,0,0,35,23 februari,1,0,0,0,0,0,0,0,0
Jakarta Timur,DUREN SAWIT,KLENDER,"rw  07, 09, 11, 13, 16, 17, 18",7,7,0,0,45,"16, 23, 25   februari",3,0,0,0,0,0,0,0,0
Jakarta Timur,DUREN SAWIT,MALAKA JAYA,"rw 01, 03, 04, 10, 12, 13",6,13,0,0,60,"23, 25  februari",2,0,0,0,0,0,0,0,0
Jakarta Timur,DUREN SAWIT,PONDOK BAMBU,"rw 06, 01, 07, 05",4,7,50,130,45,23 februari,1,0,0,0,0,0,0,0,0
Jakarta Timur,DUREN SAWIT,PONDOK KELAPA,"rw 04, 06,08,  09, 10, 12, 13",7,16,386,2132,55,"8, 16, 25  februari",3,0,0,0,0,320,4,0,0
Jakarta Timur,DUREN SAWIT,PONDOK KOPI,"rw 03, 04, 05, 06, 07, 10",6,32,0,0,35,"8, 25 februari",2,0,0,0,0,0,0,0,0
Jakarta Timur,DUREN SAWIT,DUREN SAWIT,"rw 01, 05, 09, 10,13, 15,16,  17",8,9,0,0,40,"8, 16, 23  februari",3,0,0,0,0,0,0,0,0
Jakarta Timur,DUREN SAWIT,MALAKA SARI,rw 09,1,1,0,0,50,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Timur,JATINEGARA,BIDARA CINA,"rw 01, 02., 03, 05, 06,  07,08, 09,  10, 11, 12, 14, 15",13,23,1185,3904,55,"8, 15, 16 , 20, 22, 23, 24, 25  februari",8,0,0,0,0,479,7,0,0
Jakarta Timur,JATINEGARA,CIPINANG BESAR UTARA,rw 13,1,1,0,0,15,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Timur,JATINEGARA,CIPINANG MUARA,"rw  11, 13, 16",3,4,191,708,40,"8, 16, 23, 25, 28  februari",5,0,0,0,0,213,2,0,0
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,"rw 03,04, 05,06, 07, 08",6,29,392,2185,80,"6, 8, 16,20, 23, 24  februari",6,0,0,0,0,858,5,0,0
Jakarta Timur,JATINEGARA,RAWA BUNGA,"rw 02, 03, 04, 05, 06, ",5,6,0,0,40,"8, 23, 25  februari",3,0,0,0,0,0,0,0,0
Jakarta Timur,JATINEGARA,CIPINANG CEMPEDAK,rw 03,1,1,0,0,50,23 februari,1,0,0,0,0,0,0,0,0
Jakarta Timur,KRAMAT JATI,BALE KAMBANG,"rw 01, 02, 05, ",3,8,60,244,60,"8, 20, 25  februari",3,0,0,0,0,230,3,0,0
Jakarta Timur,KRAMAT JATI,BATU AMPAR,"rw 01,  03, 04, 05, 06",5,5,0,0,35,"23, 25  februari",2,0,0,0,0,0,0,0,0
Jakarta Timur,KRAMAT JATI,CAWANG,"rw 01, 02, 03, 04, 05, 07, 08, 09, 10, 11, 12, ",11,30,0,0,63,"8, 15, 16, 20, 22,23, 24, 25  februari",8,1,0,0,0,58,2,0,0
Jakarta Timur,KRAMAT JATI,CILILITAN,"rw 01, 05, 06, 07, 16",5,10,0,0,55,"8, 20, 23, 24, 25  februari",5,0,0,0,0,220,5,0,0
Jakarta Timur,KRAMAT JATI,DUKUH,"rw 01,03,04,06",4,10,0,0,17,"23, 25  februari",2,0,0,0,0,0,0,0,0
Jakarta Timur,KRAMAT JATI,TENGAH,"rw 01, 02, 03, 06, 07, 09",6,7,0,0,40,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Timur,MAKASAR,CIPINANG MELAYU,"rw 02, 03, 04, 05, 06, 08, 10, 11,  12, 13",10,18,3762,13450,55,"3, 8, 16, 23, 25, 28   februari",6,0,0,0,0,2424,8,0,0
Jakarta Timur,MAKASAR,HALIM PERDANA KUSUMA,"rw 05, 07, 08, 10",4,9,0,0,35,"23, 25  februari",2,0,0,0,0,133,1,0,0
